miRNA,lncRNA
hsa-miR-16-5p,ESAM-AS1
hsa-miR-195-5p,ESAM-AS1
hsa-miR-424-5p,ESAM-AS1
hsa-miR-497-5p,ESAM-AS1
hsa-miR-149-5p,NINJ2-AS1
hsa-miR-155-5p,NINJ2-AS1
hsa-miR-15a-5p,NINJ2-AS1
hsa-miR-15b-5p,NINJ2-AS1
hsa-miR-16-5p,NINJ2-AS1
hsa-miR-186-5p,NINJ2-AS1
hsa-miR-195-5p,NINJ2-AS1
hsa-miR-19a-3p,NINJ2-AS1
hsa-miR-19b-3p,NINJ2-AS1
hsa-miR-224-5p,NINJ2-AS1
hsa-miR-424-5p,NINJ2-AS1
hsa-miR-497-5p,NINJ2-AS1
hsa-miR-143-3p,C1RL-AS1
hsa-miR-155-5p,C1RL-AS1
hsa-miR-15a-5p,C1RL-AS1
hsa-miR-15b-5p,C1RL-AS1
hsa-miR-16-5p,C1RL-AS1
hsa-miR-182-5p,C1RL-AS1
hsa-miR-194-5p,C1RL-AS1
hsa-miR-195-5p,C1RL-AS1
hsa-miR-216b-5p,C1RL-AS1
hsa-miR-326,C1RL-AS1
hsa-miR-330-5p,C1RL-AS1
hsa-miR-424-5p,C1RL-AS1
hsa-miR-497-5p,C1RL-AS1
hsa-let-7a-5p,KLRK1-AS1
hsa-let-7b-5p,KLRK1-AS1
hsa-let-7c-5p,KLRK1-AS1
hsa-let-7d-5p,KLRK1-AS1
hsa-let-7e-5p,KLRK1-AS1
hsa-let-7f-5p,KLRK1-AS1
hsa-let-7g-5p,KLRK1-AS1
hsa-let-7i-5p,KLRK1-AS1
hsa-miR-136-5p,KLRK1-AS1
hsa-miR-379-5p,KLRK1-AS1
hsa-miR-4458,KLRK1-AS1
hsa-miR-98-5p,KLRK1-AS1
hsa-miR-194-5p,RASSF8-AS1
hsa-miR-31-5p,RASSF8-AS1
hsa-miR-590-3p,RASSF8-AS1
hsa-miR-599,RPAP3-DT
hsa-miR-18a-5p,BCDIN3D-AS1
hsa-miR-18b-5p,BCDIN3D-AS1
hsa-miR-106a-5p,HOTAIR
hsa-miR-106b-5p,HOTAIR
hsa-miR-130a-3p,HOTAIR
hsa-miR-130b-3p,HOTAIR
hsa-miR-148a-3p,HOTAIR
hsa-miR-148b-3p,HOTAIR
hsa-miR-152-3p,HOTAIR
hsa-miR-17-5p,HOTAIR
hsa-miR-19a-3p,HOTAIR
hsa-miR-19b-3p,HOTAIR
hsa-miR-206,HOTAIR
hsa-miR-20a-5p,HOTAIR
hsa-miR-20b-5p,HOTAIR
hsa-miR-214-3p,HOTAIR
hsa-miR-221-3p,HOTAIR
hsa-miR-222-3p,HOTAIR
hsa-miR-301a-3p,HOTAIR
hsa-miR-326,HOTAIR
hsa-miR-330-5p,HOTAIR
hsa-miR-3619-5p,HOTAIR
hsa-miR-4295,HOTAIR
hsa-miR-454-3p,HOTAIR
hsa-miR-519d-3p,HOTAIR
hsa-miR-613,HOTAIR
hsa-miR-761,HOTAIR
hsa-miR-93-5p,HOTAIR
hsa-miR-361-5p,GIHCG
hsa-miR-499a-5p,GIHCG
hsa-miR-590-3p,GIHCG
hsa-miR-224-5p,LINC02820
hsa-miR-411-5p,BTG1-DT
hsa-miR-370-3p,LINC02397
hsa-miR-320b,TMPO-AS1
hsa-miR-320c,TMPO-AS1
hsa-miR-320d,TMPO-AS1
hsa-miR-4429,TMPO-AS1
hsa-miR-7-5p,TMPO-AS1
hsa-miR-361-5p,LINC00485
hsa-miR-182-5p,LINC02457
hsa-miR-23a-3p,LINC02457
hsa-miR-23b-3p,LINC02457
hsa-miR-182-5p,LINC00173
hsa-miR-23a-3p,LINC00173
hsa-miR-23b-3p,LINC00173
hsa-miR-130a-3p,LINC01089
hsa-miR-130b-3p,LINC01089
hsa-miR-148a-3p,LINC01089
hsa-miR-148b-3p,LINC01089
hsa-miR-152-3p,LINC01089
hsa-miR-192-5p,LINC01089
hsa-miR-215-5p,LINC01089
hsa-miR-27a-3p,LINC01089
hsa-miR-27b-3p,LINC01089
hsa-miR-301a-3p,LINC01089
hsa-miR-30a-5p,LINC01089
hsa-miR-30b-5p,LINC01089
hsa-miR-30c-5p,LINC01089
hsa-miR-30d-5p,LINC01089
hsa-miR-30e-5p,LINC01089
hsa-miR-4295,LINC01089
hsa-miR-454-3p,LINC01089
hsa-miR-143-3p,LINC00944
hsa-miR-199a-5p,LINC00944
hsa-miR-199b-5p,LINC00944
hsa-miR-544a,FZD10-AS1
hsa-miR-30a-5p,TPT1-AS1
hsa-miR-30b-5p,TPT1-AS1
hsa-miR-30c-5p,TPT1-AS1
hsa-miR-30d-5p,TPT1-AS1
hsa-miR-30e-5p,TPT1-AS1
hsa-miR-324-5p,TPT1-AS1
hsa-miR-30a-5p,DLEU2
hsa-miR-30b-5p,DLEU2
hsa-miR-30c-5p,DLEU2
hsa-miR-30d-5p,DLEU2
hsa-miR-30e-5p,DLEU2
hsa-miR-374a-5p,DLEU2
hsa-miR-374b-5p,DLEU2
hsa-miR-181a-5p,INTS6-AS1
hsa-miR-181b-5p,INTS6-AS1
hsa-miR-181c-5p,INTS6-AS1
hsa-miR-181d-5p,INTS6-AS1
hsa-miR-223-3p,INTS6-AS1
