lncRNA,miRNA
HOTAIR,hsa-miR-106b-5p
HOTAIR,hsa-miR-130a-3p
HOTAIR,hsa-miR-130b-3p
HOTAIR,hsa-miR-148a-3p
HOTAIR,hsa-miR-148b-3p
HOTAIR,hsa-miR-152-3p
HOTAIR,hsa-miR-17-5p
HOTAIR,hsa-miR-19a-3p
HOTAIR,hsa-miR-19b-3p
HOTAIR,hsa-miR-206
HOTAIR,hsa-miR-20a-5p
HOTAIR,hsa-miR-20b-5p
HOTAIR,hsa-miR-214-3p
HOTAIR,hsa-miR-221-3p
HOTAIR,hsa-miR-222-3p
HOTAIR,hsa-miR-301a-3p
HOTAIR,hsa-miR-326
HOTAIR,hsa-miR-330-5p
HOTAIR,hsa-miR-3619-5p
HOTAIR,hsa-miR-3666
HOTAIR,hsa-miR-4295
HOTAIR,hsa-miR-454-3p
HOTAIR,hsa-miR-519d-3p
HOTAIR,hsa-miR-613
HOTAIR,hsa-miR-761
HOTAIR,hsa-miR-93-5p
HOTAIRM1,hsa-miR-103a-3p
HOTAIRM1,hsa-miR-107
HOTAIRM1,hsa-miR-129-5p
HOTAIRM1,hsa-miR-148a-3p
HOTAIRM1,hsa-miR-148b-3p
HOTAIRM1,hsa-miR-152-3p
HOTTIP,hsa-miR-615-3p
HOXA-AS2,hsa-miR-106a-5p
HOXA-AS2,hsa-miR-106b-5p
HOXA-AS2,hsa-miR-17-5p
HOXA-AS2,hsa-miR-20a-5p
HOXA-AS2,hsa-miR-20b-5p
HOXA-AS2,hsa-miR-302a-3p
HOXA-AS2,hsa-miR-302b-3p
HOXA-AS2,hsa-miR-302c-3p
HOXA-AS2,hsa-miR-302d-3p
HOXA-AS2,hsa-miR-302e
HOXA-AS2,hsa-miR-372-3p
HOXA-AS2,hsa-miR-373-3p
HOXA-AS2,hsa-miR-519d-3p
HOXA-AS2,hsa-miR-520a-3p
HOXA-AS2,hsa-miR-520c-3p
HOXA-AS2,hsa-miR-520d-3p
HOXA-AS2,hsa-miR-93-5p
HOXA-AS3,hsa-miR-216a-5p
HOXA-AS3,hsa-miR-218-5p
HOXA-AS3,hsa-miR-29a-3p
HOXA-AS3,hsa-miR-29b-3p
HOXA-AS3,hsa-miR-29c-3p
HOXA-AS3,hsa-miR-455-5p
HOXA11-AS,hsa-let-7a-5p
HOXA11-AS,hsa-let-7b-5p
HOXA11-AS,hsa-let-7c-5p
HOXA11-AS,hsa-let-7d-5p
HOXA11-AS,hsa-let-7e-5p
HOXA11-AS,hsa-let-7f-5p
HOXA11-AS,hsa-let-7g-5p
HOXA11-AS,hsa-let-7i-5p
HOXA11-AS,hsa-miR-124-3p
HOXA11-AS,hsa-miR-130a-3p
HOXA11-AS,hsa-miR-130b-3p
HOXA11-AS,hsa-miR-148a-3p
HOXA11-AS,hsa-miR-148b-3p
HOXA11-AS,hsa-miR-152-3p
HOXA11-AS,hsa-miR-208a-3p
HOXA11-AS,hsa-miR-208b-3p
HOXA11-AS,hsa-miR-214-3p
HOXA11-AS,hsa-miR-223-3p
HOXA11-AS,hsa-miR-24-3p
HOXA11-AS,hsa-miR-301a-3p
HOXA11-AS,hsa-miR-3619-5p
HOXA11-AS,hsa-miR-3666
HOXA11-AS,hsa-miR-4295
HOXA11-AS,hsa-miR-4458
HOXA11-AS,hsa-miR-4500
HOXA11-AS,hsa-miR-454-3p
HOXA11-AS,hsa-miR-506-3p
HOXA11-AS,hsa-miR-761
HOXA11-AS,hsa-miR-98-5p
JPX,hsa-miR-145-5p
JPX,hsa-miR-193a-3p
JPX,hsa-miR-193b-3p
JPX,hsa-miR-197-3p
JPX,hsa-miR-28-5p
JPX,hsa-miR-3139
JPX,hsa-miR-33a-5p
JPX,hsa-miR-33b-5p
JPX,hsa-miR-378a-3p
JPX,hsa-miR-378b
JPX,hsa-miR-378c
JPX,hsa-miR-378d
JPX,hsa-miR-378e
JPX,hsa-miR-378f
JPX,hsa-miR-378h
JPX,hsa-miR-378i
JPX,hsa-miR-422a
JPX,hsa-miR-495-3p
JPX,hsa-miR-544a
JPX,hsa-miR-708-5p
KLF3-AS1,hsa-miR-138-5p
KRTAP5-AS1,hsa-miR-421
LBX2-AS1,hsa-miR-491-5p
LEF1-AS1,hsa-miR-544a
LINC-PINT,hsa-miR-1297
LINC-PINT,hsa-miR-26a-5p
LINC-PINT,hsa-miR-26b-5p
LINC-PINT,hsa-miR-329-3p
LINC-PINT,hsa-miR-362-3p
LINC-PINT,hsa-miR-365a-3p
LINC-PINT,hsa-miR-4465
LINC-PINT,hsa-miR-543
LINC00173,hsa-miR-182-5p
LINC00173,hsa-miR-23a-3p
LINC00173,hsa-miR-23b-3p
LINC00173,hsa-miR-23c
LINC00313,hsa-miR-199a-5p
LINC00313,hsa-miR-199b-5p
LINC00313,hsa-miR-19a-3p
LINC00313,hsa-miR-19b-3p
LINC00313,hsa-miR-218-5p
LINC00313,hsa-miR-24-3p
LINC00313,hsa-miR-320b
LINC00313,hsa-miR-320c
LINC00313,hsa-miR-320d
LINC00313,hsa-miR-342-3p
LINC00313,hsa-miR-4429
LINC00313,hsa-miR-485-5p
LINC00319,hsa-miR-141-3p
LINC00319,hsa-miR-200a-3p
LINC00339,hsa-miR-128-3p
LINC00339,hsa-miR-130a-3p
LINC00339,hsa-miR-130b-3p
LINC00339,hsa-miR-148a-3p
LINC00339,hsa-miR-148b-3p
LINC00339,hsa-miR-152-3p
LINC00339,hsa-miR-15a-5p
LINC00339,hsa-miR-15b-5p
LINC00339,hsa-miR-16-5p
LINC00339,hsa-miR-195-5p
LINC00339,hsa-miR-19a-3p
LINC00339,hsa-miR-19b-3p
LINC00339,hsa-miR-214-3p
LINC00339,hsa-miR-218-5p
LINC00339,hsa-miR-219a-5p
LINC00339,hsa-miR-301a-3p
LINC00339,hsa-miR-338-3p
LINC00339,hsa-miR-3619-5p
LINC00339,hsa-miR-3666
LINC00339,hsa-miR-377-3p
LINC00339,hsa-miR-424-5p
LINC00339,hsa-miR-4295
LINC00339,hsa-miR-454-3p
LINC00339,hsa-miR-4782-3p
LINC00339,hsa-miR-497-5p
LINC00339,hsa-miR-539-5p
LINC00339,hsa-miR-761
LINC00467,hsa-miR-18a-5p
LINC00467,hsa-miR-18b-5p
LINC00467,hsa-miR-4735-3p
LINC00511,hsa-miR-150-5p
LINC00511,hsa-miR-15a-5p
LINC00511,hsa-miR-15b-5p
LINC00511,hsa-miR-16-5p
LINC00511,hsa-miR-183-5p
LINC00511,hsa-miR-195-5p
LINC00511,hsa-miR-29a-3p
LINC00511,hsa-miR-29b-3p
LINC00511,hsa-miR-29c-3p
LINC00511,hsa-miR-424-5p
LINC00511,hsa-miR-497-5p
LINC00663,hsa-miR-326
LINC00663,hsa-miR-330-5p
LINC00665,hsa-let-7a-5p
LINC00665,hsa-let-7b-5p
LINC00665,hsa-let-7c-5p
LINC00665,hsa-let-7d-5p
LINC00665,hsa-let-7e-5p
LINC00665,hsa-let-7f-5p
LINC00665,hsa-let-7g-5p
LINC00665,hsa-let-7i-5p
LINC00665,hsa-miR-129-5p
LINC00665,hsa-miR-134-5p
LINC00665,hsa-miR-138-5p
LINC00665,hsa-miR-186-5p
LINC00665,hsa-miR-224-5p
LINC00665,hsa-miR-28-5p
LINC00665,hsa-miR-3118
LINC00665,hsa-miR-3139
LINC00665,hsa-miR-33a-5p
LINC00665,hsa-miR-33b-5p
LINC00665,hsa-miR-3529-5p
LINC00665,hsa-miR-379-5p
LINC00665,hsa-miR-4458
LINC00665,hsa-miR-4500
LINC00665,hsa-miR-708-5p
LINC00665,hsa-miR-7-5p
LINC00665,hsa-miR-9-5p
LINC00665,hsa-miR-98-5p
LINC00689,hsa-miR-129-5p
LINC00689,hsa-miR-142-3p
LINC00689,hsa-miR-218-5p
LINC00689,hsa-miR-3167
LINC00689,hsa-miR-496
LINC00689,hsa-miR-876-5p
LINC00882,hsa-miR-214-3p
LINC00882,hsa-miR-29a-3p
LINC00882,hsa-miR-29c-3p
LINC00882,hsa-miR-3619-5p
LINC00882,hsa-miR-761
LINC00958,hsa-miR-185-5p
LINC00958,hsa-miR-214-3p
LINC00958,hsa-miR-3619-5p
LINC00958,hsa-miR-4306
LINC00958,hsa-miR-4644
LINC00958,hsa-miR-490-3p
LINC00958,hsa-miR-761
LINC00963,hsa-let-7a-5p
LINC00963,hsa-let-7b-5p
LINC00963,hsa-let-7c-5p
LINC00963,hsa-let-7d-5p
LINC00963,hsa-let-7e-5p
LINC00963,hsa-let-7f-5p
LINC00963,hsa-let-7g-5p
LINC00963,hsa-let-7i-5p
LINC00963,hsa-miR-125a-3p
LINC00963,hsa-miR-125a-5p
LINC00963,hsa-miR-125b-5p
LINC00963,hsa-miR-143-3p
LINC00963,hsa-miR-149-5p
LINC00963,hsa-miR-24-3p
LINC00963,hsa-miR-25-3p
LINC00963,hsa-miR-32-5p
LINC00963,hsa-miR-361-5p
LINC00963,hsa-miR-363-3p
LINC00963,hsa-miR-367-3p
LINC00963,hsa-miR-370-3p
LINC00963,hsa-miR-4319
LINC00963,hsa-miR-4458
LINC00963,hsa-miR-4500
LINC00963,hsa-miR-4770
LINC00963,hsa-miR-92a-3p
LINC00963,hsa-miR-92b-3p
LINC00963,hsa-miR-98-5p
LINC01089,hsa-miR-130a-3p
LINC01089,hsa-miR-130b-3p
LINC01089,hsa-miR-148a-3p
LINC01089,hsa-miR-148b-3p
LINC01089,hsa-miR-152-3p
LINC01089,hsa-miR-192-5p
LINC01089,hsa-miR-215-5p
LINC01089,hsa-miR-27a-3p
LINC01089,hsa-miR-27b-3p
LINC01089,hsa-miR-301a-3p
LINC01089,hsa-miR-30a-5p
LINC01089,hsa-miR-30b-5p
LINC01089,hsa-miR-30c-5p
LINC01089,hsa-miR-30d-5p
LINC01089,hsa-miR-30e-5p
LINC01089,hsa-miR-3666
LINC01089,hsa-miR-4295
LINC01089,hsa-miR-454-3p
LINC01089,hsa-miR-875-5p
LINC01096,hsa-miR-19a-3p
LINC01096,hsa-miR-19b-3p
LINC01227,hsa-miR-143-3p
LINC01227,hsa-miR-4770
LINC01227,hsa-miR-485-5p
LINC01537,hsa-miR-125a-3p
LINC01537,hsa-miR-138-5p
LINC01772,hsa-miR-155-5p
LINC02086,hsa-miR-106a-5p
LINC02086,hsa-miR-106b-5p
LINC02086,hsa-miR-17-5p
LINC02086,hsa-miR-20a-5p
LINC02086,hsa-miR-20b-5p
LINC02086,hsa-miR-519d-3p
LINC02086,hsa-miR-93-5p
LOXL1-AS1,hsa-miR-18a-5p
LOXL1-AS1,hsa-miR-18b-5p
LOXL1-AS1,hsa-miR-28-5p
LOXL1-AS1,hsa-miR-3139
LOXL1-AS1,hsa-miR-374a-5p
LOXL1-AS1,hsa-miR-374b-5p
LOXL1-AS1,hsa-miR-4735-3p
LOXL1-AS1,hsa-miR-708-5p
MAGI2-AS3,hsa-miR-138-5p
MAGI2-AS3,hsa-miR-142-3p
MAGI2-AS3,hsa-miR-218-5p
MAGI2-AS3,hsa-miR-223-3p
MAGI2-AS3,hsa-miR-31-5p
MAGI2-AS3,hsa-miR-374a-5p
MAGI2-AS3,hsa-miR-374b-5p
MAGI2-AS3,hsa-miR-448
MALINC1,hsa-miR-411-5p
MALINC1,hsa-miR-496
MCM3AP-AS1,hsa-miR-138-5p
MCM3AP-AS1,hsa-miR-143-3p
MCM3AP-AS1,hsa-miR-149-5p
MCM3AP-AS1,hsa-miR-15a-5p
MCM3AP-AS1,hsa-miR-15b-5p
MCM3AP-AS1,hsa-miR-16-5p
MCM3AP-AS1,hsa-miR-194-5p
MCM3AP-AS1,hsa-miR-195-5p
MCM3AP-AS1,hsa-miR-19a-3p
MCM3AP-AS1,hsa-miR-19b-3p
MCM3AP-AS1,hsa-miR-204-5p
MCM3AP-AS1,hsa-miR-205-5p
MCM3AP-AS1,hsa-miR-211-5p
MCM3AP-AS1,hsa-miR-224-5p
MCM3AP-AS1,hsa-miR-23a-3p
MCM3AP-AS1,hsa-miR-23b-3p
MCM3AP-AS1,hsa-miR-23c
MCM3AP-AS1,hsa-miR-24-3p
MCM3AP-AS1,hsa-miR-28-5p
MCM3AP-AS1,hsa-miR-3139
MCM3AP-AS1,hsa-miR-3167
MCM3AP-AS1,hsa-miR-340-5p
MCM3AP-AS1,hsa-miR-383-5p
MCM3AP-AS1,hsa-miR-424-5p
MCM3AP-AS1,hsa-miR-425-5p
MCM3AP-AS1,hsa-miR-455-5p
MCM3AP-AS1,hsa-miR-4770
MCM3AP-AS1,hsa-miR-497-5p
MCM3AP-AS1,hsa-miR-708-5p
MCM3AP-AS1,hsa-miR-876-5p
MEG3,hsa-miR-219a-5p
MEG3,hsa-miR-361-5p
MEG3,hsa-miR-4782-3p
MEG3,hsa-miR-7-5p
MEG8,hsa-miR-15a-5p
MEG8,hsa-miR-15b-5p
MEG8,hsa-miR-16-5p
MEG8,hsa-miR-195-5p
MEG8,hsa-miR-424-5p
MEG8,hsa-miR-497-5p
MIAT,hsa-miR-150-5p
MIAT,hsa-miR-29a-3p
MIAT,hsa-miR-29b-3p
MIAT,hsa-miR-29c-3p
MIR17HG,hsa-miR-130a-3p
MIR17HG,hsa-miR-130b-3p
MIR17HG,hsa-miR-144-3p
MIR17HG,hsa-miR-153-3p
MIR17HG,hsa-miR-155-5p
MIR17HG,hsa-miR-223-3p
MIR17HG,hsa-miR-301a-3p
MIR17HG,hsa-miR-302a-3p
MIR17HG,hsa-miR-302b-3p
MIR17HG,hsa-miR-302c-3p
MIR17HG,hsa-miR-302d-3p
MIR17HG,hsa-miR-302e
MIR17HG,hsa-miR-3666
MIR17HG,hsa-miR-372-3p
MIR17HG,hsa-miR-373-3p
MIR17HG,hsa-miR-377-3p
MIR17HG,hsa-miR-421
MIR17HG,hsa-miR-4295
MIR17HG,hsa-miR-454-3p
MIR17HG,hsa-miR-520a-3p
MIR17HG,hsa-miR-520c-3p
MIR17HG,hsa-miR-520d-3p
MIR17HG,hsa-miR-590-3p
MIR4435-2HG,hsa-miR-136-5p
MIR4435-2HG,hsa-miR-193a-3p
MIR4435-2HG,hsa-miR-193b-3p
MIR4435-2HG,hsa-miR-330-5p
MIR600HG,hsa-miR-199a-5p
MIR600HG,hsa-miR-199b-5p
MIR600HG,hsa-miR-296-3p
NEAT1,hsa-let-7a-5p
NEAT1,hsa-let-7b-5p
NEAT1,hsa-let-7c-5p
NEAT1,hsa-let-7d-5p
NEAT1,hsa-let-7e-5p
NEAT1,hsa-let-7f-5p
NEAT1,hsa-let-7g-5p
NEAT1,hsa-let-7i-5p
NEAT1,hsa-miR-101-3p
NEAT1,hsa-miR-103a-3p
NEAT1,hsa-miR-107
NEAT1,hsa-miR-10a-5p
NEAT1,hsa-miR-10b-5p
NEAT1,hsa-miR-124-3p
NEAT1,hsa-miR-125a-3p
NEAT1,hsa-miR-125a-5p
NEAT1,hsa-miR-129-5p
NEAT1,hsa-miR-146a-5p
NEAT1,hsa-miR-146b-5p
NEAT1,hsa-miR-154-5p
NEAT1,hsa-miR-181a-5p
NEAT1,hsa-miR-181b-5p
NEAT1,hsa-miR-181c-5p
NEAT1,hsa-miR-181d-5p
NEAT1,hsa-miR-193a-3p
NEAT1,hsa-miR-193b-3p
NEAT1,hsa-miR-194-5p
NEAT1,hsa-miR-202-3p
NEAT1,hsa-miR-204-5p
NEAT1,hsa-miR-211-5p
NEAT1,hsa-miR-214-3p
NEAT1,hsa-miR-216a-5p
NEAT1,hsa-miR-22-3p
NEAT1,hsa-miR-27a-3p
NEAT1,hsa-miR-27b-3p
NEAT1,hsa-miR-28-5p
NEAT1,hsa-miR-3139
NEAT1,hsa-miR-320b
NEAT1,hsa-miR-320c
NEAT1,hsa-miR-320d
NEAT1,hsa-miR-324-5p
NEAT1,hsa-miR-329-3p
NEAT1,hsa-miR-335-5p
NEAT1,hsa-miR-339-5p
NEAT1,hsa-miR-342-3p
NEAT1,hsa-miR-34a-5p
NEAT1,hsa-miR-34c-5p
NEAT1,hsa-miR-3529-5p
NEAT1,hsa-miR-3619-5p
NEAT1,hsa-miR-362-3p
NEAT1,hsa-miR-365a-3p
NEAT1,hsa-miR-370-3p
NEAT1,hsa-miR-371a-5p
NEAT1,hsa-miR-377-3p
NEAT1,hsa-miR-379-5p
NEAT1,hsa-miR-383-5p
NEAT1,hsa-miR-425-5p
NEAT1,hsa-miR-4262
NEAT1,hsa-miR-4319
NEAT1,hsa-miR-433-3p
